"Story","Title","Result","Date","Stability","Duration (s)"
"Jobs","Search jobs by keyword","SUCCESS","2022-03-23T00:59:38.5172164+07:00[Asia/Bangkok]","0.0","0.12"
"Jobs","Search jobs by location","SUCCESS","2022-03-23T00:59:38.6972583+07:00[Asia/Bangkok]","0.0","0.17"
"Login","Success login","SUCCESS","2022-03-23T00:59:38.9543256+07:00[Asia/Bangkok]","0.0","0.21"
"Login","Failed login","SUCCESS","2022-03-23T00:59:39.2213929+07:00[Asia/Bangkok]","0.0","0.42"
"My Network","Accepted invitations","SUCCESS","2022-03-23T00:59:39.8074031+07:00[Asia/Bangkok]","0.0","0.16"
"My Network","Ignored invitations","SUCCESS","2022-03-23T00:59:40.0574218+07:00[Asia/Bangkok]","0.0","0.08"
"My Network","Connect recommendations friend","SUCCESS","2022-03-23T00:59:40.1824295+07:00[Asia/Bangkok]","0.0","0.08"
"My Network","Follow recommendations people","SUCCESS","2022-03-23T00:59:40.3230615+07:00[Asia/Bangkok]","0.0","0.08"
"Search General","Success show result by job positions","SUCCESS","2022-03-23T00:59:40.4636983+07:00[Asia/Bangkok]","0.0","0.11"
"Search General","Search by suggested keywords","SUCCESS","2022-03-23T00:59:40.6199585+07:00[Asia/Bangkok]","0.0","0.11"
"Search General","Failed show result","SUCCESS","2022-03-23T00:59:40.7762167+07:00[Asia/Bangkok]","0.0","0.14"
